X,Y,OBJECTID,StopId,StopAbbr,StopName,NodeAbbr,OnStreet,AtStreet,Lon,Lat,GeoStatus,Comments,BayNum,FacingDir,FareZoneId,CurbType,InService,Preferred,Bench,Shelter,Lighting,Garbage,Telephone,SignPost,Bicycle,Transfer,URL,DATASOURCE,UA
1029213.45833333,445807.099737532,536,13393,BRNA(NW),Broadway/Natachee, ,E BROADWAY BLVD,N AVE NATACHEE,-110852104,32221127,-214748363, , , ,0,W2,1,0,1,0,0,1,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13393.jpg,TDOT_BUSSTOPS,
1018451.64599738,445840.120078743,537,13498,BRNI(SE),Broadway/Niven, ,E BROADWAY BLVD,S NIVEN AVE,-110886898,32221506,-214748363, , , ,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13498.jpg,TDOT_BUSSTOPS,
1026592.59580053,445860.91929134,538,13506,BROC(EB),Broadway/O'Reilly Chevrolet, ,E BROADWAY BLVD,E BROADWAY BLVD,-110860576,32221346,-214748363,moved east 444' on 02-10-12, , ,0,W6,1,0,1,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13506.jpg,TDOT_BUSSTOPS,
1041636.97375328,445837.17486877,539,14545,BROS(SE),Broadway/Old Spanish Trail, ,E BROADWAY BLVD,E OLD SPANISH TRL,-110811936,32220865,-214748363, ,Cac-ad,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14545.jpg,TDOT_BUSSTOPS,
1041795.34908136,445895.927493438,540,14559,BROS*NE*,Broadway/Old Spanish Trail, ,E BROADWAY BLVD,E OLD SPANISH TRL,-110811422,32221022,-214748363,Solar auxiliary lighting,G purple,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14559.jpg,TDOT_BUSSTOPS,
1038253.60367454,445863.325459316,541,13385,BRPA(NE),Broadway/Pantano(NE), ,E BROADWAY BLVD,N PANTANO RD,-110822874,32221032,-214748363,Accident 10-06-20, ,1,0,W2,1,0,1,0,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13385.jpg,TDOT_BUSSTOPS,
1037712.63976378,445863.644685037,542,13386,BRPA(NW),Broadway/Pantano(NW),BRDYPNTN,E BROADWAY BLVD,N PANTANO RD,-110824623,32221048,-214748363, ,Cac-ad,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13386.jpg,TDOT_BUSSTOPS,
1038121.50984252,445804.857283466,543,14452,BRPA(SE),Broadway/Pantano,BRDYPNTN,E BROADWAY BLVD,N PANTANO RD,-110823303,32220875,-214748363, ,F blue,1,0,W2,1,1,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/14452.jpg,TDOT_BUSSTOPS,
996895.611548558,445540.848425195,544,16364,BRPA(SW),Broadway/Park Av, ,E BROADWAY BL,N PARK AV,-110956603,32221232,-214748364, , , ,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16364.jpg,TDOT_BUSSTOPS,
996722.792979002,445636.811023623,545,13429,BRPK(NW),Broadway/Park Av, ,E BROADWAY BLVD,N PARK AVE,-110957159,32221500,-214748363, , ,1,0,W6,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13429.jpg,TDOT_BUSSTOPS,
1002104.34744094,445702.763451442,546,13424,BRPL(NW),Broadway/Plumer, ,E BROADWAY BLVD,N PLUMER AVE,-110939757,32221548,-214748363, , ,1,0,W6,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13424.jpg,TDOT_BUSSTOPS,
1002313.08070866,445638.444553807,547,13486,BRPL(SE),Broadway/Plumer, ,E BROADWAY BLVD,N PLUMER AVE,-110939084,32221366,-214748363, , ,1,0,W6,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13486.jpg,TDOT_BUSSTOPS,
1025168.45997375,445876.788057745,548,13505,BRPP(SE),Broadway/Park Place, ,E BROADWAY BL,N INDIAN HOUSE RD,-110865180,32221428,-214748363, ,S2ad-pu17,1,0,W6,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13505.jpg,TDOT_BUSSTOPS,
1035176.94127297,445872.172900259,549,13388,BRPR(NW),Broadway/Prudence, ,E BROADWAY BLVD,N PRUDENCE RD,-110832821,32221142,-214748363, ,G refurb,1,0,W2,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13388.jpg,TDOT_BUSSTOPS,
1035473.81003937,445755.100393698,550,13532,BRPR(SE),Broadway/Prudence, ,E BROADWAY BLVD,S PRUDENCE RD,-110831865,32220812,-214748363, ,G Purple,1,0,W2,1,0,0,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13532.jpg,TDOT_BUSSTOPS,
1008643.60728347,445831.621062994,551,89,BRRA(NW),Broadway/Randolph Way,BRDYRAND,E BROADWAY BLVD,S RANDOLPH WAY,-110918610,32221737,-214748363, ,S2ad-pl06,1,0,W6,1,0,0,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/89.jpg,TDOT_BUSSTOPS,
1008930.58825459,445735.688976377,552,78,BRRA(SE),Broadway/Randolph Way,BRDYRAND,E BROADWAY BLVD,S RANDOLPH WAY,-110917685,32221466,-214748363, ,G,1,0,W6,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/78.jpg,TDOT_BUSSTOPS,
1036867.57808399,445778.296259843,553,13533,BRRO(EB),Broadway/River Oaks Apts, , , ,-110827358,32220837,-1, ,G purple,1,0,W2,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13533.jpg,TDOT_BUSSTOPS,
1019278.71062992,445966.30347769,554,13411,BRRO(NW),Broadway/Rosemont, ,E BROADWAY BLVD,N ROSEMONT BLVD,-110884220,32221831,-214748363, ,G,1,0,W6,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13411.jpg,TDOT_BUSSTOPS,
1019572.17847769,445842.508858271,555,13499,BRRO(SE),Broadway/Rosemont, ,E BROADWAY BLVD,N ROSEMONT BLVD,-110883275,32221483,-214748363, ,F-bl86r,1,0,W6,1,0,1,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13499.jpg,TDOT_BUSSTOPS,
1036799.09251969,445882.752952754,556,13387,BRRO(WB),Broadway/River Oaks Apts, ,E BROADWAY BLVD, ,-110827576,32221126,-1,Simme-seat, , ,0,W2,1,0,1,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13387.jpg,TDOT_BUSSTOPS,
1044420.73031496,445891.016404197,557,14936,BRRY(NE),Broadway/Rayburn, ,E BROADWAY BLVD,N RAYBURN PL,-110802934,32220934,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/14936.jpg,TDOT_BUSSTOPS,
1044417.32053806,445832.037729658,558,14937,BRRY*SE*,Broadway/Rayburn, ,E BROADWAY BLVD,N RAYBURN PL,-110802947,32220772,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/14937.jpg,TDOT_BUSSTOPS,
